cohort,d,se,lo,hi,z,P,I2_pct,Q_P
"GSE261807 (snRNA, astrocyte)",0.8052987163990152,0.43854415110115713,-0.05424781975925275,1.6648452525572832,1.8363002091738314,0.06631326885812425,,
"GSE155114 (snRNA, microglia)",0.5232052340217412,0.5084825377074094,-0.47342053988478106,1.5198310079282635,1.0289541827349902,0.30350120541112513,,
Emory proteomics (CTE-IV),0.8570234609046695,0.30644802752693323,0.25638532695188043,1.4576615948574587,2.7966355920804453,0.005163773836595522,,
Pooled (fixed-effect),0.7778966365123733,0.22521296619567105,0.33647922276885806,1.2193140502558886,3.4540490703209152,0.0005522368838394246,0.0,0.852
Pooled (random-effect),0.7778966365123733,0.22521296619567105,0.33647922276885806,1.2193140502558886,3.4540490703209152,0.0005522368838394246,0.0,0.852
